date,consommation,temperature,precipitation,is_non_ouvre
2012-01-01,2471592.0,11.39,2.12,1
2012-01-02,2912815.0,8.503333333333334,8.546666666666665,0
2012-01-03,3252581.0,7.983333333333333,2.729999999999999,0
2012-01-04,3265403.0,7.9766666666666675,4.803333333333334,0
2012-01-05,3319555.0,8.673333333333336,6.59,0
2012-01-06,3314845.0,6.726666666666665,1.65,0
2012-01-07,3031707.0,7.050000000000001,1.1433333333333335,1
2012-01-08,2833583.0,7.416666666666666,0.4933333333333333,1
2012-01-09,3227375.0,6.803333333333333,0.2533333333333333,0
2012-01-10,3290786.0,6.776666666666667,0.0866666666666666,0
2012-01-11,3316060.0,6.063333333333332,0.0,0
2012-01-12,3430370.0,4.843333333333335,0.0333333333333333,0
2012-01-13,3413680.0,4.703333333333333,0.1533333333333333,0
2012-01-14,3254178.0,2.646666666666667,0.0,1
2012-01-15,3264940.0,1.6233333333333335,0.0,1
2012-01-16,3668048.0,1.863333333333333,0.1633333333333333,0
2012-01-17,3776565.0,1.6966666666666663,0.1066666666666666,0
2012-01-18,3770913.0,3.1099999999999994,0.1966666666666666,0
2012-01-19,3505306.0,7.360000000000001,1.7733333333333337,0
2012-01-20,3346416.0,8.02,4.043333333333332,0
2012-01-21,2958923.0,8.903333333333334,2.113333333333333,1
2012-01-22,2765237.0,8.953333333333331,0.97,1
2012-01-23,3183694.0,7.516666666666667,0.3566666666666667,0
2012-01-24,3309320.0,6.470000000000001,1.88,0
2012-01-25,3274679.0,7.5566666666666675,0.4666666666666667,0
2012-01-26,3285358.0,7.256666666666667,0.7966666666666665,0
2012-01-27,3320659.0,5.553333333333333,1.2333333333333334,0
2012-01-28,3129473.0,4.093333333333333,2.7266666666666675,1
2012-01-29,3150764.0,2.7333333333333334,1.6366666666666672,1
2012-01-30,3699865.0,1.5800000000000003,2.4600000000000004,0
2012-01-31,3828386.0,0.9833333333333332,4.683333333333334,0
2012-02-01,4011836.0,-1.2133333333333334,1.0266666666666666,0
2012-02-02,4201153.0,-3.4100000000000006,0.25,0
2012-02-03,4283900.0,-4.69,0.1766666666666666,0
2012-02-04,4086357.0,-4.413333333333333,0.0966666666666666,1
2012-02-05,3985046.0,-4.029999999999999,3.89,1
2012-02-06,4231291.0,-3.6033333333333326,0.1233333333333333,0
2012-02-07,4376461.0,-4.843333333333333,0.0833333333333333,0
2012-02-08,4516641.0,-4.72,0.0166666666666666,0
2012-02-09,4457671.0,-3.88,0.0,0
2012-02-10,4332607.0,-3.28,0.0233333333333333,0
2012-02-11,4221657.0,-4.726666666666666,0.0,1
2012-02-12,4089692.0,-4.343333333333335,0.0766666666666666,1
2012-02-13,4164993.0,-0.7333333333333335,0.6366666666666666,0
2012-02-14,3959058.0,2.523333333333333,1.8733333333333333,0
2012-02-15,3799773.0,4.003333333333334,1.8366666666666664,0
2012-02-16,3628424.0,4.836666666666668,0.7166666666666667,0
2012-02-17,3536376.0,4.699999999999999,0.0299999999999999,0
2012-02-18,3162307.0,5.543333333333333,0.6066666666666667,1
2012-02-19,3048656.0,4.513333333333334,2.33,1
2012-02-20,3511915.0,1.9866666666666664,0.15,0
2012-02-21,3612370.0,2.0933333333333333,0.0033333333333333,0
2012-02-22,3554128.0,3.136666666666667,0.0599999999999999,0
2012-02-23,3433738.0,6.099999999999998,0.5866666666666666,0
2012-02-24,3209267.0,8.206666666666667,0.0133333333333333,0
2012-02-25,2857923.0,8.23,0.0866666666666666,1
2012-02-26,2698009.0,7.513333333333334,0.1566666666666666,1
2012-02-27,3159420.0,6.276666666666667,0.01,0
2012-02-28,3176612.0,7.166666666666667,0.0666666666666666,0
2012-02-29,3056789.0,8.436666666666666,0.0,0
2012-03-01,3011780.0,8.923333333333334,0.0,0
2012-03-02,2957561.0,9.653333333333332,0.0533333333333333,0
2012-03-03,2694223.0,9.28,0.3,1
2012-03-04,2615794.0,8.890000000000002,3.843333333333333,1
2012-03-05,3186477.0,5.633333333333335,4.63,0
2012-03-06,3310971.0,5.109999999999999,1.3099999999999998,0
2012-03-07,3350906.0,5.16,1.7766666666666664,0
2012-03-08,3245355.0,6.353333333333333,1.7500000000000002,0
2012-03-09,3209508.0,6.086666666666667,0.0166666666666666,0
2012-03-10,2832846.0,7.476666666666666,0.0,1
2012-03-11,2611323.0,9.236666666666668,0.0366666666666666,1
2012-03-12,2896607.0,9.640000000000002,0.0,0
2012-03-13,2886519.0,10.436666666666666,0.0,0
2012-03-14,2834283.0,10.813333333333334,0.0,0
2012-03-15,2797525.0,11.340000000000002,0.0,0
2012-03-16,2721186.0,11.066666666666666,0.0,0
2012-03-17,2513268.0,10.359999999999996,2.0733333333333333,1
2012-03-18,2508676.0,8.386666666666667,6.876666666666668,1
2012-03-19,2952860.0,6.819999999999999,1.7166666666666666,0
2012-03-20,3043934.0,7.049999999999998,0.3766666666666666,0
2012-03-21,2979370.0,9.38,2.58,0
2012-03-22,2828509.0,11.803333333333333,1.84,0
2012-03-23,2686983.0,11.856666666666664,0.5133333333333333,0
2012-03-24,2333077.0,12.716666666666663,0.0033333333333333,1
2012-03-25,2158072.0,12.926666666666666,0.04,1
2012-03-26,2480168.0,13.386666666666663,0.0066666666666666,0
2012-03-27,2523345.0,13.130000000000004,0.0,0
2012-03-28,2507090.0,13.260000000000002,0.0,0
2012-03-29,2491732.0,13.196666666666667,0.0,0
2012-03-30,2462616.0,12.590000000000002,0.0,0
2012-03-31,2258513.0,11.88,0.0,1
2012-04-01,2185732.0,9.96,0.0,1
2012-04-02,2587528.0,10.556666666666668,0.1199999999999999,0
2012-04-03,2659273.0,10.689999999999998,1.923333333333333,0
2012-04-04,2742055.0,9.92,4.720000000000001,0
2012-04-05,2774210.0,10.42,0.99,0
2012-04-06,2700327.0,10.383333333333333,2.303333333333333,0
2012-04-07,2474956.0,9.389999999999995,2.0500000000000003,1
2012-04-08,2353707.0,8.360000000000001,0.7433333333333334,1
2012-04-09,2383133.0,9.943333333333332,1.52,1
2012-04-10,2784198.0,10.536666666666664,9.766666666666664,0
2012-04-11,2847649.0,9.050000000000002,4.866666666666666,0
2012-04-12,2825048.0,9.063333333333334,3.366666666666667,0
2012-04-13,2784017.0,8.793333333333331,1.9600000000000004,0
2012-04-14,2524484.0,8.466666666666667,3.103333333333333,1
